name,description
SiteCie,"Ayyyy waddup :tada:

SiteCie here o/ :wrench:

We keep the blueshell site in top shape :sparkles:. Stack: Vue frontend :art:, Spring Boot backend :leaves:. New features rolling nonstop :rocket:.

Got something you’d love to see :heart:? Missing functionality or a fresh feature? Add your ideas to the site and help the whole association :video_game: 

Hope to see you around :wave::wave:"
Board,"10th board of Blueshell, Rainbow Road."
Member's initiative,"As a member you also have the possibility of organising events without a committee. That is via the members initiative. Whenever you have an idea, worked out plan, or just a recommendation, dm Board via Discord, ask via our server or ask us in person. We are open for anything!"
4FunCie,"4Funcie is responsible for organizing physical activities and outings outside of the usual gaming environment. Their events range from activities such as bowling and pooling to larger outings, such as a trip to the Efteling. The committee offers a great way to get active, try something new, and spend time together outside of gaming."
LegaCie,"Legacie organizes a wide range of casual and social events for the Blueshell community. Their activities include regular gamenights as well as smaller social events such as potlucks, casino nights, and other fun activities where members can come together and meet new people."
MCie,"MCie is the committee responsible for organizing Minecraft-related events within Blueshell. From creative competitions like the Building Game during the Kick-Off to modded server releases, Lucky Block Walls, Bingo, and more, MCie brings a variety of Minecraft activities to the community."
NintenCo,"Welcome to the Nintenco committee! We are all big Nintendo fans and we work together to plan all kinds of event based around nintendo for blueshell! We always plan the yearly mario kart tournament and the Nintenco Pubquiz, but we also organize new Nintendo events each year."
PRCie,"PrCie makes anything promotion related. A new banner, hoodies, or posters? Anything is possible in PrCie. We meet once per month to update each other on the projects, while we work on smaller projects in a group or solo. Newby or no idea how to design? Or a veteran in photoshop? Anyone is welcome in PrCie!"
DegeneraCie,"DegeneraCie is the committee for everything a little more niche. They organize VGMQs (Video Game Music Quizzes), anime-themed events, and other activities for members with an appreciation for gaming, anime, and all things wonderfully degenerate."
KickCie,"KickCie is the committee responsible for everything related to the Kick-In. They help set up and prepare the Blueshell presence during the event, welcome and approach new members, and assist with activities throughout the Kick-In. The committee plays an important role in introducing new students to Blueshell and making sure they feel welcome from the start."
CircuitCie,"CircuitCie organises a yearly in-house tounament called Circuit Showdown that lasts for a longer period during the academic year. We host Esports matches of our four most popular Esports titles:
- Rocket League
- Valorant
- League of Legends
- Counter Strike 2
And sometimes other games too :D
These matches are played between 3-4 factions created at the start of the Circuit Showdown period."
LanCie,"LanCie is responsible for organizing LAN parties on behalf of Blueshell Esports. Our work ranges from small, internal gatherings to larger collaborative events with other gaming associations. We handle everything from venue scouting and logistics to coordinating with sponsors and other committees to make sure every LAN runs smoothly.
Whether you're into competitive tournaments or just want to game with friends in person, LanCie creates the space for that to happen. If you're interested in event planning, logistics, or simply want to help bring people together for some offline gaming, LanCie is the place for you."
YapCie,"This is the committee for all streamers - rookie and veteran. It is a light workload, depending on whether you want to cast/stream a certain match yourself, observe, edit/manage the stream pack (the layout of the screen while streams are going on), or sit it out and just watch the magic happen. We have meetings approximately once a month, where we discuss what our future plans are (who wants to stream/observe, how are we going to spread the streams throughout the upcoming month, does the stream pack need updates, are there any games we want to cast, etc). Whether you want to show off your solo games or cast Blueshell's most entertaining home matches, YapCie is THE committee for you!"
One-Of-Committee (Member's Iniative),"Do you want to host a larger or a longer event and need the help of more people? Want to organise a one-of-thing with more structure and support? Then you can always set up an one-of-committee. With an one-of-committee we provide you with a drive, we plan together as a committee meetings. No strings attached, dm the board, or ask the board in person and anything is possible!"
